,types,deg,bet,clos,eig
hsa-let-7a-5p,FALSE,20,4441.041171,0.000202102,0.395584163
hsa-let-7b-5p,FALSE,31,9538.758746,0.000207383,0.502836664
hsa-let-7c-5p,FALSE,15,2942.503738,0.000200562,0.318266856
hsa-miR-100-5p,FALSE,6,742.0245506,0.00018615,0.094920824
hsa-miR-1200,FALSE,4,198.807474,0.000182949,0.090674971
hsa-miR-124-3p,FALSE,37,11598.91266,0.000202758,0.301419374
hsa-miR-1275,FALSE,3,309.9518141,0.000182415,0.069489712
hsa-miR-127-5p,FALSE,2,55.06076876,0.000179147,0.056773477
hsa-miR-1295a,FALSE,2,40.51172512,0.000174703,0.02564813
hsa-miR-1303,FALSE,3,90.93800386,0.000178763,0.042578566
hsa-miR-1307-3p,FALSE,6,388.2008578,0.000184094,0.084590673
hsa-miR-145-5p,FALSE,15,2261.484573,0.000193648,0.212110423
hsa-miR-16-5p,FALSE,39,11455.1662,0.000210172,0.652375863
hsa-miR-196a-5p,FALSE,9,919.0289462,0.000194401,0.25220658
hsa-miR-19a-3p,FALSE,14,2953.538585,0.000198728,0.315129092
hsa-miR-19b-3p,FALSE,12,1303.107555,0.000192604,0.225422402
hsa-miR-216a-5p,FALSE,7,453.4032827,0.000185529,0.09500686
hsa-miR-218-5p,FALSE,26,5635.604333,0.000197785,0.27456116
hsa-miR-221-3p,FALSE,14,2126.991341,0.000190259,0.171319376
hsa-miR-222-3p,FALSE,11,1075.829231,0.000188182,0.171364786
hsa-miR-320a,FALSE,21,4170.03429,0.000202347,0.393744099
hsa-miR-324-5p,FALSE,9,905.0265131,0.000189107,0.12971484
hsa-miR-326,FALSE,7,956.5076159,0.000190114,0.141944488
hsa-miR-329-5p,FALSE,4,290.8440806,0.000182017,0.067710494
hsa-miR-33a-5p,FALSE,5,977.5878534,0.000181225,0.065147524
hsa-miR-33b-5p,FALSE,5,205.2451338,0.000183756,0.092937586
hsa-miR-3613-3p,FALSE,13,2685.228663,0.000196928,0.213311842
hsa-miR-382-3p,FALSE,1,0,0.000172831,0.019292492
hsa-miR-412-3p,FALSE,2,29.41976275,0.000173853,0.021462594
hsa-miR-450a-2-3p,FALSE,5,855.7843587,0.000188253,0.104175409
hsa-miR-450b-5p,FALSE,2,23.16314918,0.000175932,0.027344027
hsa-miR-455-3p,FALSE,9,1786.816268,0.000187056,0.119941044
hsa-miR-484,FALSE,14,3329.853896,0.000191205,0.165054143
hsa-miR-493-3p,FALSE,2,22.88202406,0.000175871,0.028857629
hsa-miR-5010-5p,FALSE,3,309.9518141,0.000182415,0.069489712
hsa-miR-506-3p,FALSE,2,39.37478352,0.000177999,0.038250829
hsa-miR-507,FALSE,2,23.16314918,0.000175932,0.027344027
hsa-miR-520g-3p,FALSE,6,256.2417282,0.000184366,0.111139597
hsa-miR-520h,FALSE,6,256.2417282,0.000184366,0.111139597
hsa-miR-524-3p,FALSE,2,124.1451992,0.000177809,0.028524843
hsa-miR-525-3p,FALSE,2,124.1451992,0.000177809,0.028524843
hsa-miR-544a,FALSE,5,335.6117962,0.000184911,0.088086784
