miRNA,Gene
let-7a-5p,CCND1
let-7b-5p,CCND1
let-7c-5p,CCND1
let-7d-5p,CCND1
let-7e-5p,CCND1
let-7f-5p,CCND1
let-7g-5p,CCND1
let-7i-5p,CCND1
miR-106a-5p,CCND1
miR-106b-5p,CCND1
miR-1193,CCND1
miR-1234-3p,CCND1
miR-1253,CCND1
miR-1257,CCND1
miR-1271-5p,CCND1
miR-1299,CCND1
miR-138-5p,CCND1
miR-142-5p,CCND1
miR-147a,CCND1
miR-152-3p,CCND1
miR-155-5p,CCND1
miR-15a-5p,CCND1
miR-15b-5p,CCND1
miR-16-5p,CCND1
miR-17-5p,CCND1
miR-183-5p,CCND1
miR-18a-5p,CCND1
miR-18b-5p,CCND1
miR-1910-3p,CCND1
miR-193b-3p,CCND1
miR-195-5p,CCND1
miR-196a-5p,CCND1
miR-19a-3p,CCND1
miR-202-3p,CCND1
miR-206,CCND1
miR-20a-5p,CCND1
miR-20b-5p,CCND1
miR-216b-3p,CCND1
miR-24-3p,CCND1
miR-26b-5p,CCND1
miR-27a-3p,CCND1
miR-298,CCND1
miR-29a-3p,CCND1
miR-302a-3p,CCND1
miR-302c-3p,CCND1
miR-323b-3p,CCND1
miR-326,CCND1
miR-330-5p,CCND1
miR-340-5p,CCND1
miR-34a-5p,CCND1
miR-34b-3p,CCND1
miR-365a-3p,CCND1
miR-369-3p,CCND1
miR-374a-5p,CCND1
miR-374b-5p,CCND1
miR-383-5p,CCND1
miR-424-5p,CCND1
miR-4458,CCND1
miR-448,CCND1
miR-449a,CCND1
miR-4524a-5p,CCND1
miR-490-3p,CCND1
miR-491-3p,CCND1
miR-494-3p,CCND1
miR-497-5p,CCND1
miR-5010-3p,CCND1
miR-503-5p,CCND1
miR-513a-5p,CCND1
miR-516b-5p,CCND1
miR-518c-5p,CCND1
miR-5196-5p,CCND1
miR-519d-3p,CCND1
miR-520b,CCND1
miR-545-3p,CCND1
miR-548ah-5p,CCND1
miR-548k,CCND1
miR-556-5p,CCND1
miR-563,CCND1
miR-574-5p,CCND1
miR-593-3p,CCND1
miR-603,CCND1
miR-6511a-5p,CCND1
miR-708-5p,CCND1
miR-758-5p,CCND1
miR-875-3p,CCND1
miR-891b,CCND1
miR-92a-3p,CCND1
miR-93-5p,CCND1
miR-944,CCND1
miR-95-3p,CCND1
miR-9-5p,CCND1
miR-96-5p,CCND1
miR-98-5p,CCND1
let-7a-5p,CCND2
let-7b-5p,CCND2
miR-106b-5p,CCND2
miR-1200,CCND2
miR-1228-3p,CCND2
miR-124-3p,CCND2
miR-1248,CCND2
miR-1252-5p,CCND2
miR-1255a,CCND2
miR-1255b-5p,CCND2
miR-1297,CCND2
miR-130a-3p,CCND2
miR-130b-3p,CCND2
miR-154-5p,CCND2
miR-15a-5p,CCND2
