,types,deg,bet,clos,eig
let-7a-5p,FALSE,4,483.0313543,0.00172117,0.219158616
let-7b-5p,FALSE,4,483.0313543,0.00172117,0.219158616
let-7c-5p,FALSE,4,480.7389044,0.001703578,0.219132297
let-7d-5p,FALSE,3,242.3799231,0.00155521,0.171857469
let-7e-5p,FALSE,4,480.7389044,0.001703578,0.219132297
let-7f-5p,FALSE,3,242.3799231,0.00155521,0.171857469
let-7g-5p,FALSE,3,242.3799231,0.00155521,0.171857469
let-7i-5p,FALSE,3,242.3799231,0.00155521,0.171857469
miR-106a-5p,FALSE,2,61.12535971,0.001297017,0.108124178
miR-106b-5p,FALSE,4,456.8871515,0.001626016,0.19404461
miR-1193,FALSE,1,0,0.001150748,0.06084935
miR-1234-3p,FALSE,1,0,0.001150748,0.06084935
miR-1253,FALSE,2,75.0165181,0.001390821,0.133238184
miR-1257,FALSE,2,61.12535971,0.001297017,0.108124178
miR-1271-5p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-1299,FALSE,1,0,0.001150748,0.06084935
miR-138-5p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-142-5p,FALSE,2,61.12535971,0.001297017,0.108124178
miR-147a,FALSE,1,0,0.001150748,0.06084935
miR-152-3p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-155-5p,FALSE,2,78.43755062,0.001297017,0.099468635
miR-15a-5p,FALSE,3,196.5563382,0.001455604,0.155425324
miR-15b-5p,FALSE,3,196.5563382,0.001455604,0.155425324
miR-16-5p,FALSE,5,779.4222957,0.001904762,0.266433444
miR-17-5p,FALSE,4,456.8871515,0.001626016,0.19404461
miR-183-5p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-18a-5p,FALSE,1,0,0.001150748,0.06084935
miR-18b-5p,FALSE,1,0,0.001150748,0.06084935
miR-1910-3p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-193b-3p,FALSE,1,0,0.001150748,0.06084935
miR-195-5p,FALSE,3,196.5563382,0.001455604,0.155425324
miR-196a-5p,FALSE,4,483.0313543,0.00172117,0.219158616
miR-19a-3p,FALSE,3,242.8264728,0.001464129,0.146769782
miR-202-3p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-206,FALSE,4,430.165628,0.00172117,0.227814158
miR-20a-5p,FALSE,4,456.8871515,0.001626016,0.19404461
miR-20b-5p,FALSE,2,61.12535971,0.001297017,0.108124178
miR-216b-3p,FALSE,2,61.12535971,0.001297017,0.108124178
miR-24-3p,FALSE,2,78.43755062,0.001297017,0.099468635
miR-26b-5p,FALSE,3,228.6780454,0.001545595,0.18053933
miR-27a-3p,FALSE,1,0,0.001150748,0.06084935
miR-298,FALSE,2,61.12535971,0.001297017,0.108124178
miR-29a-3p,FALSE,2,77.39901834,0.00130719,0.108150496
miR-302a-3p,FALSE,4,430.165628,0.00172117,0.227814158
miR-302c-3p,FALSE,4,430.165628,0.00172117,0.227814158
miR-323b-3p,FALSE,1,0,0.001150748,0.06084935
miR-326,FALSE,1,0,0.001150748,0.06084935
miR-330-5p,FALSE,1,0,0.001150748,0.06084935
miR-340-5p,FALSE,3,228.6780454,0.001545595,0.18053933
miR-34a-5p,FALSE,3,242.3799231,0.00155521,0.171857469
miR-34b-3p,FALSE,2,78.43755062,0.001297017,0.099468635
miR-365a-3p,FALSE,1,0,0.001150748,0.06084935
miR-369-3p,FALSE,1,0,0.001150748,0.06084935
miR-374a-5p,FALSE,1,0,0.001150748,0.06084935
miR-374b-5p,FALSE,1,0,0.001150748,0.06084935
miR-383-5p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-424-5p,FALSE,3,196.5563382,0.001455604,0.155425324
miR-4458,FALSE,2,75.0165181,0.001390821,0.133238184
miR-448,FALSE,1,0,0.001150748,0.06084935
miR-449a,FALSE,2,78.43755062,0.001297017,0.099468635
miR-4524a-5p,FALSE,3,196.5563382,0.001455604,0.155425324
miR-490-3p,FALSE,1,0,0.001150748,0.06084935
miR-491-3p,FALSE,1,0,0.001150748,0.06084935
miR-494-3p,FALSE,3,242.3799231,0.00155521,0.171857469
miR-497-5p,FALSE,4,430.165628,0.00172117,0.227814158
miR-5010-3p,FALSE,1,0,0.001150748,0.06084935
miR-503-5p,FALSE,4,430.165628,0.00172117,0.227814158
miR-513a-5p,FALSE,1,0,0.001150748,0.06084935
miR-516b-5p,FALSE,1,0,0.001150748,0.06084935
miR-518c-5p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-5196-5p,FALSE,2,61.12535971,0.001297017,0.108124178
miR-519d-3p,FALSE,2,61.12535971,0.001297017,0.108124178
miR-520b,FALSE,4,430.165628,0.00172117,0.227814158
miR-545-3p,FALSE,1,0,0.001150748,0.06084935
miR-548ah-5p,FALSE,3,218.4721405,0.001531394,0.180513012
miR-548k,FALSE,1,0,0.001150748,0.06084935
miR-556-5p,FALSE,1,0,0.001150748,0.06084935
miR-563,FALSE,1,0,0.001150748,0.06084935
miR-574-5p,FALSE,1,0,0.001150748,0.06084935
miR-593-3p,FALSE,1,0,0.001150748,0.06084935
miR-603,FALSE,4,430.165628,0.00172117,0.227814158
miR-6511a-5p,FALSE,2,75.0165181,0.001390821,0.133238184
miR-708-5p,FALSE,1,0,0.001150748,0.06084935
miR-758-5p,FALSE,1,0,0.001150748,0.06084935
miR-875-3p,FALSE,1,0,0.001150748,0.06084935
miR-891b,FALSE,1,0,0.001150748,0.06084935
miR-92a-3p,FALSE,3,242.3799231,0.00155521,0.171857469
miR-93-5p,FALSE,3,234.4662692,0.001455604,0.146743463
miR-944,FALSE,1,0,0.001150748,0.06084935
miR-95-3p,FALSE,1,0,0.001150748,0.06084935
miR-9-5p,FALSE,1,0,0.001150748,0.06084935
miR-96-5p,FALSE,3,228.6780454,0.001545595,0.18053933
miR-98-5p,FALSE,3,242.3799231,0.00155521,0.171857469
miR-1200,FALSE,1,0,0.001104972,0.047301146
miR-1228-3p,FALSE,1,0,0.001104972,0.047301146
miR-124-3p,FALSE,1,0,0.001104972,0.047301146
miR-1248,FALSE,2,86.98990387,0.001261034,0.085920432
miR-1252-5p,FALSE,1,0,0.001104972,0.047301146
miR-1255a,FALSE,1,0,0.001104972,0.047301146
miR-1255b-5p,FALSE,1,0,0.001104972,0.047301146
miR-1297,FALSE,1,0,0.001104972,0.047301146
miR-130a-3p,FALSE,1,0,0.001104972,0.047301146
miR-130b-3p,FALSE,1,0,0.001104972,0.047301146
miR-154-5p,FALSE,1,0,0.001104972,0.047301146
miR-182-5p,FALSE,2,76.26250897,0.001345895,0.11968998
miR-185-5p,FALSE,2,76.26250897,0.001345895,0.11968998
miR-191-5p,FALSE,1,0,0.001104972,0.047301146
miR-19b-3p,FALSE,1,0,0.001104972,0.047301146
miR-26a-5p,FALSE,2,86.98990387,0.001261034,0.085920432
miR-29b-3p,FALSE,1,0,0.001104972,0.047301146
miR-29c-3p,FALSE,1,0,0.001104972,0.047301146
miR-301a-3p,FALSE,1,0,0.001104972,0.047301146
miR-302b-3p,FALSE,3,216.6247318,0.001517451,0.166964808
miR-302d-3p,FALSE,3,216.6247318,0.001517451,0.166964808
miR-302e,FALSE,3,216.6247318,0.001517451,0.166964808
miR-30c-5p,FALSE,2,86.98990387,0.001261034,0.085920432
miR-320a,FALSE,4,487.443849,0.001680672,0.205584094
miR-324-3p,FALSE,2,86.98990387,0.001261034,0.085920432
miR-335-5p,FALSE,3,252.1782673,0.00149925,0.158309266
miR-342-3p,FALSE,2,76.26250897,0.001345895,0.11968998
miR-3613-3p,FALSE,2,76.26250897,0.001345895,0.11968998
miR-372-3p,FALSE,3,216.6247318,0.001517451,0.166964808
miR-373-3p,FALSE,4,487.443849,0.001680672,0.205584094
miR-382-5p,FALSE,1,0,0.001104972,0.047301146
miR-3916,FALSE,2,76.26250897,0.001345895,0.11968998
miR-423-5p,FALSE,2,86.98990387,0.001261034,0.085920432
miR-4516,FALSE,1,0,0.001104972,0.047301146
miR-4521,FALSE,1,0,0.001104972,0.047301146
miR-454-3p,FALSE,1,0,0.001104972,0.047301146
miR-505-3p,FALSE,1,0,0.001104972,0.047301146
miR-519a-3p,FALSE,1,0,0.001104972,0.047301146
miR-519b-3p,FALSE,1,0,0.001104972,0.047301146
miR-519c-3p,FALSE,1,0,0.001104972,0.047301146
miR-520a-3p,FALSE,3,216.6247318,0.001517451,0.166964808
miR-520c-3p,FALSE,3,216.6247318,0.001517451,0.166964808
miR-520d-3p,FALSE,3,216.6247318,0.001517451,0.166964808
miR-520e,FALSE,3,216.6247318,0.001517451,0.166964808
miR-610,FALSE,1,0,0.001104972,0.047301146
miR-615-3p,FALSE,1,0,0.001104972,0.047301146
miR-656-3p,FALSE,1,0,0.001104972,0.047301146
miR-665,FALSE,1,0,0.001104972,0.047301146
miR-765,FALSE,1,0,0.001104972,0.047301146
miR-877-5p,FALSE,1,0,0.001104972,0.047301146
miR-890,FALSE,1,0,0.001104972,0.047301146
miR-10a-5p,FALSE,1,0,0.00110742,0.047274828
miR-10b-5p,FALSE,1,0,0.00110742,0.047274828
miR-125a-5p,FALSE,2,94.90335885,0.001270648,0.085894113
miR-1260b,FALSE,1,0,0.00110742,0.047274828
miR-126-3p,FALSE,1,0,0.00110742,0.047274828
miR-127-5p,FALSE,1,0,0.00110742,0.047274828
miR-1304-3p,FALSE,1,0,0.00110742,0.047274828
miR-1306-5p,FALSE,1,0,0.00110742,0.047274828
miR-132-3p,FALSE,1,0,0.00110742,0.047274828
miR-135b-3p,FALSE,1,0,0.00110742,0.047274828
