"","miRNA","Gene"
"1","hsa-let-7a-5p","ACTB"
"2","hsa-let-7b-5p","ACTB"
"3","hsa-let-7c-5p","ACTB"
"4","hsa-miR-100-5p","ACTB"
"5","hsa-miR-1200","ACTB"
"6","hsa-miR-124-3p","ACTB"
"7","hsa-miR-1275","ACTB"
"8","hsa-miR-127-5p","ACTB"
"9","hsa-miR-1295a","ACTB"
"10","hsa-miR-1303","ACTB"
"11","hsa-miR-1307-3p","ACTB"
"12","hsa-miR-145-5p","ACTB"
"13","hsa-miR-16-5p","ACTB"
"14","hsa-miR-196a-5p","ACTB"
"15","hsa-miR-19a-3p","ACTB"
"16","hsa-miR-19b-3p","ACTB"
"17","hsa-miR-216a-5p","ACTB"
"18","hsa-miR-218-5p","ACTB"
"19","hsa-miR-221-3p","ACTB"
"20","hsa-miR-222-3p","ACTB"
"21","hsa-miR-320a","ACTB"
"22","hsa-miR-324-5p","ACTB"
"23","hsa-miR-326","ACTB"
"24","hsa-miR-329-5p","ACTB"
"25","hsa-miR-33a-5p","ACTB"
"26","hsa-miR-33b-5p","ACTB"
"27","hsa-miR-3613-3p","ACTB"
"28","hsa-miR-382-3p","ACTB"
"29","hsa-miR-412-3p","ACTB"
"30","hsa-miR-450a-2-3p","ACTB"
"31","hsa-miR-450b-5p","ACTB"
"32","hsa-miR-455-3p","ACTB"
"33","hsa-miR-484","ACTB"
"34","hsa-miR-493-3p","ACTB"
"35","hsa-miR-5010-5p","ACTB"
"36","hsa-miR-506-3p","ACTB"
"37","hsa-miR-507","ACTB"
"38","hsa-miR-520g-3p","ACTB"
"39","hsa-miR-520h","ACTB"
"40","hsa-miR-524-3p","ACTB"
"41","hsa-miR-525-3p","ACTB"
"42","hsa-miR-544a","ACTB"
"43","hsa-miR-548aa","ACTB"
"44","hsa-miR-548d-3p","ACTB"
"45","hsa-miR-548h-3p","ACTB"
"46","hsa-miR-548l","ACTB"
"47","hsa-miR-548n","ACTB"
"48","hsa-miR-548t-3p","ACTB"
"49","hsa-miR-548z","ACTB"
